Article Number,Name of the Offer,Card name,Card language,condition,auction date,number of bids,final bid,currency,shipping fee,seller,items sold by seller,images,local path,auction type,url
179,PANINI Prizm World Cup 2018 - Base - Kylian Mbappe - France - Rookie - PSA10?,Other,0,Gebraucht,2021-12-09 20:03:00,No auction,120.0,EUR,4.95,tradingcardshuntervienna,1050,"['https://i.ebayimg.com/images/g/uEQAAOSwGqZg9Gcj/s-l1600.jpg', 'https://i.ebayimg.com/images/g/zicAAOSwP15g9Gcn/s-l1600.jpg']",0,0,0
178,Pokemon Base Set Magmar 1st Edition - PSA 10 GEM MINT - No Glurak / Charizard,Magmar,English,Gebraucht,2021-12-09 20:37:00,No auction,93.0,EUR,5.99,2014dedrk,35,"['https://i.ebayimg.com/images/g/DLoAAOSwn1ZhOlQQ/s-l1600.jpg', 'https://i.ebayimg.com/images/g/sgEAAOSwoOdhOlQP/s-l1600.jpg']",0,0,0
177,POKEMON BASE KARTE LEKTROBAL 1.EDITION 21/102/1999  PSA 10,Electrode,German,Gebraucht,2021-12-09 20:59:00,No auction,116.0,EUR,8.49,dane662,61,"['https://i.ebayimg.com/images/g/VVcAAOSwfJ5hNOeb/s-l1600.jpg', 'https://i.ebayimg.com/images/g/8T4AAOSw47xhNOev/s-l1600.jpg']",0,0,0
176,POKEMON BASE KARTE FUKANO 1.EDITION 28/102/1999  PSA 10,Growlithe,German,Gebraucht,2021-12-09 21:10:00,No auction,116.0,EUR,8.49,dane662,61,"['https://i.ebayimg.com/images/g/1qMAAOSwBdBhOiMB/s-l1600.jpg', 'https://i.ebayimg.com/images/g/hIoAAOSwKX5hOiMS/s-l1600.jpg']",0,0,0
175,PSA 10 Sterndu 1st Edition 1999 Pokemon German 1 Deutsch Base Set 65/102,Staryu,German,Gebraucht,2021-12-09 21:29:00,No auction,82.66,EUR,5.5,huhu-3310,101,"['https://i.ebayimg.com/images/g/KscAAOSwedVhOmBR/s-l1600.jpg', 'https://i.ebayimg.com/images/g/lLIAAOSwBL9hOmBT/s-l1600.jpg']",0,0,0
174,PSA 10 Rattikarl 1st Edition 1999 Pokemon German 1 Deutsch Base Set 40/102,Raticate,German,Gebraucht,2021-12-09 21:30:00,No auction,89.89,EUR,5.5,huhu-3310,101,"['https://i.ebayimg.com/images/g/RiUAAOSwey1hOmCY/s-l1600.jpg', 'https://i.ebayimg.com/images/g/~7kAAOSwECthOmCa/s-l1600.jpg']",0,0,0
173,PSA 10 Machollo 1st Edition 1999 Pokemon German 1 Deutsch Base Set 52/102,Machop,German,Gebraucht,2021-12-09 21:31:00,No auction,91.99,EUR,5.5,huhu-3310,101,"['https://i.ebayimg.com/images/g/hDsAAOSwj-phOmD9/s-l1600.jpg', 'https://i.ebayimg.com/images/g/5iIAAOSwRi5hOmD~/s-l1600.jpg']",0,0,0
172,PSA 10 Smogon 1st Edition 1999 Pokemon German 1 Deutsch Base Set 51/102,Koffing,German,Gebraucht,2021-12-09 21:40:00,No auction,96.66,EUR,5.5,huhu-3310,101,"['https://i.ebayimg.com/images/g/WXEAAOSwUwxhOmMO/s-l1600.jpg', 'https://i.ebayimg.com/images/g/csgAAOSwWnthOmMQ/s-l1600.jpg']",0,0,0
171,PSA 10 Taubsi 1st Edition 1999 Pokemon German 1 Deutsch Base Set 57/102,Pidgey,German,Gebraucht,2021-12-09 21:42:00,No auction,101.1,EUR,5.5,huhu-3310,101,"['https://i.ebayimg.com/images/g/Q8MAAOSwaLFhOmNj/s-l1600.jpg', 'https://i.ebayimg.com/images/g/oUwAAOSwpx5hOmNl/s-l1600.jpg']",0,0,0
170,Pokémon Karte 1999 Aufwisch 1. Edition 78/102 - Base Set - PSA 10 GEM MINT,Other,0,Gebraucht,2021-09-13 20:03:00,No auction,83.66,EUR,2.7,irvos_collective_cards,83,"['https://i.ebayimg.com/images/g/4WoAAOSwl-VhNkxW/s-l1600.jpg', 'https://i.ebayimg.com/images/g/9O4AAOSwu3hhNkxY/s-l1600.jpg']",0,0,0
164,POKEMON BASE KARTE TANGELA 1-EDITION 66/102/1999  PSA 10,Tangela,English,Gebraucht,2021-09-16 20:50:00,No auction,71.0,EUR,8.49,dane662,61,"['https://q.ebaystatic.com/aw/pics/cmp/img/imgThrobber_30x30.gif', 'https://i.ebayimg.com/images/g/yhkAAOSwm0xhJP-J/s-l1600.jpg']",0,0,0
162,PSA 10 Jurob 1st Edition 1999 Pokemon German 1 Deutsch Base Set 41/102,Seel,German,Gebraucht,2021-09-16 21:34:00,No auction,87.87,EUR,5.5,huhu-3310,101,"['https://i.ebayimg.com/images/g/oTYAAOSwdANhP6eB/s-l1600.jpg', 'https://i.ebayimg.com/images/g/UNUAAOSwZ8RhP6eE/s-l1600.jpg']",0,0,0
160,PSA 10 Abra 1st Edition 1999 Pokemon German 1 Deutsch Base Set 43/102,Abra,English,Gebraucht,2021-09-16 21:37:00,No auction,97.69,EUR,5.5,huhu-3310,101,"['https://i.ebayimg.com/images/g/akkAAOSw9HphP6gS/s-l1600.jpg', 'https://i.ebayimg.com/images/g/GmkAAOSwQiJhP6jP/s-l1600.jpg']",0,0,0
158,PSA 10 Sandan 1st Edition 1999 Pokemon German 1 Deutsch Base Set 62/102,Sandshrew,German,Gebraucht,2021-09-16 21:40:00,No auction,89.0,EUR,5.5,huhu-3310,101,"['https://i.ebayimg.com/images/g/PRkAAOSw7JVhP6kq/s-l1600.jpg', 'https://i.ebayimg.com/images/g/PlUAAOSwRzxhP6kt/s-l1600.jpg']",0,0,0
159,PSA 10 Quaputzi 1st Edition 1999 Pokemon German 1 Deutsch Base Set 38/102,Poliwhirl,German,Gebraucht,2021-09-16 21:40:00,No auction,97.7,EUR,5.5,huhu-3310,101,"['https://i.ebayimg.com/images/g/8HgAAOSw9P9hP6jx/s-l1600.jpg', 'https://i.ebayimg.com/images/g/cE8AAOSwWflhP6jz/s-l1600.jpg']",0,0,0
157,PSA 10 Starmie 1st Edition 1999 Pokemon German 1 Deutsch Base Set 64/102,Starmie,English,Gebraucht,2021-09-16 21:42:00,No auction,111.0,EUR,5.5,huhu-3310,101,"['https://i.ebayimg.com/images/g/wM0AAOSwzb1hP6ll/s-l1600.jpg', 'https://i.ebayimg.com/images/g/WeQAAOSw0jJhP6lo/s-l1600.jpg']",0,0,0
156,PSA 10 Nidorino 1st Edition 1999 Pokemon German 1 Deutsch Base Set 37/102,Nidorino,English,Gebraucht,2021-09-16 21:44:00,No auction,131.0,EUR,5.5,huhu-3310,101,"['https://i.ebayimg.com/images/g/7cEAAOSwZBNhP6mn/s-l1600.jpg', 'https://i.ebayimg.com/images/g/GUEAAOSwegxhP6pF/s-l1600.jpg']",0,0,0
154,Pokemon Blastoise V Max Jap Graad Psa 10 Gem Mint No Set Base Shadowless,Blastoise,English,Neu,2021-09-17 15:30:00,No auction,24.5,EUR,9.9,riccna-97,151,['https://i.ebayimg.com/images/g/6zYAAOSwRpRhDUyY/s-l1600.jpg'],0,0,0
153,Pokemon Venusaur V Max Jap Graad Psa 10 Gem Mint No Set Base Shadowless,Venusaur,English,Neu,2021-09-17 15:31:00,No auction,22.5,EUR,9.9,riccna-97,151,['https://i.ebayimg.com/images/g/Xv0AAOSwvy5hDUwl/s-l1600.jpg'],0,0,0
152,Pokemon Base Set Arkani 1st Edition - PSA 10 GEM MINT - No Glurak / Charizard,Arcanine,German,Gebraucht,2021-09-17 19:02:00,No auction,151.0,EUR,5.99,2014dedrk,35,"['https://i.ebayimg.com/images/g/8uwAAOSweIlhO2ob/s-l1600.jpg', 'https://i.ebayimg.com/images/g/cfkAAOSwJVFhO2od/s-l1600.jpg', 'https://i.ebayimg.com/images/g/8vYAAOSweIlhO2oe/s-l1600.jpg']",0,0,0
151,Pokemon Base Set Beleber 1st Edition - PSA 10 GEM MINT - No Glurak / Charizard,Charizard,German,Gebraucht,2021-09-17 19:20:00,No auction,66.0,EUR,5.99,2014dedrk,35,"['https://i.ebayimg.com/images/g/-bQAAOSw2d1hO2vl/s-l1600.jpg', 'https://i.ebayimg.com/images/g/Vb8AAOSw42lhO2vn/s-l1600.jpg', 'https://i.ebayimg.com/images/g/QP0AAOSwaSFhO2vp/s-l1600.jpg']",0,0,0
150,Pokemon Base Set Bill 1st Edition - PSA 10 GEM MINT - No Glurak / Charizard,Charizard,German,Gebraucht,2021-09-17 19:29:00,No auction,76.5,EUR,5.99,2014dedrk,35,"['https://i.ebayimg.com/images/g/G-YAAOSwBBZhO2xb/s-l1600.jpg', 'https://i.ebayimg.com/images/g/7QkAAOSwaoVhO2xd/s-l1600.jpg', 'https://i.ebayimg.com/images/g/zHYAAOSwF4FhO2xf/s-l1600.jpg']",0,0,0
149,Pokemon Base Set Traumato 1st Edition - PSA 10 GEM MINT - No Glurak / Charizard,Drowzee,German,Gebraucht,2021-09-17 19:38:00,No auction,86.5,EUR,5.99,2014dedrk,35,"['https://i.ebayimg.com/images/g/kDMAAOSwVdlhO2yP/s-l1600.jpg', 'https://i.ebayimg.com/images/g/YTwAAOSwKNBhO2yN/s-l1600.jpg', 'https://i.ebayimg.com/images/g/JfAAAOSwTH1hO2yR/s-l1600.jpg']",0,0,0
147,Pokémon Sterndu Staryu 65/102 BGS 9.5 GEM MINT Base Set 1.Edition PSA 10 Basis,Staryu,German,Gebraucht,2021-09-17 19:49:00,No auction,70.0,EUR,4.99,goldencardz,51,"['https://i.ebayimg.com/images/g/vgwAAOSwAxthCCsR/s-l1600.jpg', 'https://i.ebayimg.com/images/g/EdkAAOSwV1JhCCsk/s-l1600.jpg', 'https://i.ebayimg.com/images/g/xr8AAOSwf8thCCs3/s-l1600.jpg', 'https://i.ebayimg.com/images/g/m8cAAOSwOMhhCCtL/s-l1600.jpg', 'https://i.ebayimg.com/images/g/h-MAAOSwwklhCCsM/s-l1600.jpg']",0,0,0
146,Pokemon Base Set Rattfratz 1st Edition - PSA 10 GEM MINT - No Glurak / Charizard,Rattata,German,Gebraucht,2021-09-17 19:51:00,No auction,87.87,EUR,5.99,2014dedrk,35,"['https://i.ebayimg.com/images/g/acoAAOSwZ3BhO2y~/s-l1600.jpg', 'https://i.ebayimg.com/images/g/idYAAOSwFoBhO2zB/s-l1600.jpg', 'https://i.ebayimg.com/images/g/iEcAAOSwIpNhO2zD/s-l1600.jpg']",0,0,0
145,Pokémon Voltobal Voltorb 67/102 BGS 9.5 GEM MINT Base Set 1.Edition PSA 10 DE,Voltorb,German,Gebraucht,2021-09-17 19:53:00,No auction,70.0,EUR,4.99,goldencardz,51,"['https://i.ebayimg.com/images/g/yCEAAOSwxZthCCk3/s-l1600.jpg', 'https://i.ebayimg.com/images/g/ZD0AAOSwJIdhCClN/s-l1600.jpg', 'https://i.ebayimg.com/images/g/emIAAOSwpvVhB~Bt/s-l1600.jpg', 'https://i.ebayimg.com/images/g/Fg8AAOSwKExhB~Bv/s-l1600.jpg', 'https://i.ebayimg.com/images/g/JgEAAOSwpNthCCkS/s-l1600.jpg']",0,0,0
143,POKEMON BASE KARTE PROFESSOR-EICH 1.EDITION 88/102/1999  PSA 10,Other,0,Gebraucht,2021-09-18 20:40:00,No auction,81.0,EUR,8.49,dane662,61,"['https://i.ebayimg.com/images/g/WeoAAOSw1a1hN4hu/s-l1600.jpg', 'https://i.ebayimg.com/images/g/uKgAAOSwsEVhN4iB/s-l1600.jpg']",0,0,0
142,POKEMON BASE KARTE POKEMON-FLOTE 1.EDITION 86/102/1999  PSA 10,Other,0,Gebraucht,2021-09-18 20:50:00,No auction,91.0,EUR,8.49,dane662,61,"['https://i.ebayimg.com/images/g/XpcAAOSwXtFhN3ut/s-l1600.jpg', 'https://i.ebayimg.com/images/g/46kAAOSwi65hN3vA/s-l1600.jpg']",0,0,0
141,Pokemon Arkani 1. Edition 23/102 Base Set Deutsch PSA 10 BGS Gem Mint Original,Arcanine,German,Gebraucht,2021-09-18 21:22:00,No auction,133.0,EUR,4.99,ttoni88,297,"['https://i.ebayimg.com/images/g/mXkAAOSwS6ZhOQvX/s-l1600.jpg', 'https://i.ebayimg.com/images/g/wdEAAOSwwIFhOQvy/s-l1600.jpg']",0,0,0
140,Pokemon Rossana 1. Edition 31/102 Base Set Deutsch PSA 10 BGS Gem Mint Original,Jynx,German,Gebraucht,2021-09-18 21:50:00,No auction,103.0,EUR,4.99,ttoni88,297,"['https://i.ebayimg.com/images/g/Y4kAAOSwdsxhORL5/s-l1600.jpg', 'https://i.ebayimg.com/images/g/5sMAAOSw1tdhORME/s-l1600.jpg']",0,0,0
139,Pokemon Maschock 1. Edition 34/102 Base Set Deutsch PSA 10 BGS Gem Mint Original,Machoke,German,Gebraucht,2021-09-18 21:59:00,No auction,122.5,EUR,4.99,ttoni88,297,"['https://i.ebayimg.com/images/g/focAAOSwSmhhORUz/s-l1600.jpg', 'https://i.ebayimg.com/images/g/5AQAAOSwc1VhORU1/s-l1600.jpg']",0,0,0
138,[Pokemon PSA 10 Karte] 1st Edition Base Set - Porygon ,Porygon,English,Gebraucht,2021-09-18 22:04:00,No auction,89.89,EUR,0.95,ar632470,3),"['https://i.ebayimg.com/images/g/8U0AAOSwE4phORbC/s-l1600.jpg', 'https://i.ebayimg.com/images/g/YcwAAOSw5UZhORbC/s-l1600.jpg', 'https://i.ebayimg.com/images/g/rRMAAOSwsERhORbJ/s-l1600.jpg', 'https://i.ebayimg.com/images/g/zgIAAOSw97lhORbH/s-l1600.jpg']",0,0,0
137,Pokemon Pokedex 1. Edition 87/102 Base Set Deutsch PSA 10 BGS Trainer Mint top,Other,0,Gebraucht,2021-09-18 22:09:00,No auction,68.0,EUR,4.99,ttoni88,297,"['https://i.ebayimg.com/images/g/~NQAAOSwibNhORdn/s-l1600.jpg', 'https://i.ebayimg.com/images/g/tp0AAOSwD75hORdp/s-l1600.jpg']",0,0,0
136,Pokemon Quapsel 1. Edition 59/102 Base Set Deutsch PSA 10 BGS Gem Mint Original,Poliwag,German,Gebraucht,2021-09-18 22:32:00,No auction,87.0,EUR,4.99,ttoni88,297,['https://i.ebayimg.com/images/g/diQAAOSwnKphORzM/s-l1600.jpg'],0,0,0
135,PSA 10 Vulpix 1st Edition 1999 Pokemon German 1 Deutsch Base Set 68/102,Vulpix,English,Gebraucht,2021-09-18 22:38:00,No auction,87.0,EUR,5.5,huhu-3310,101,"['https://i.ebayimg.com/images/g/Et0AAOSw7PxhQlm6/s-l1600.jpg', 'https://i.ebayimg.com/images/g/-ssAAOSw-v1hQlm8/s-l1600.jpg']",0,0,0
134,PSA 10 Magnetilo 1st Edition 1999 Pokemon German 1 Deutsch Base Set 53/102,Magnemite,German,Gebraucht,2021-09-18 22:40:00,No auction,91.0,EUR,5.5,huhu-3310,101,"['https://i.ebayimg.com/images/g/a5cAAOSw0nthQloO/s-l1600.jpg', 'https://i.ebayimg.com/images/g/M0sAAOSw9ORhQloR/s-l1600.jpg']",0,0,0
133,Pokemon Defender 1. Edition 80/102 Base Set Deutsch PSA 10 BGS Trainer Mint top,Other,0,Gebraucht,2021-09-18 22:48:00,No auction,76.5,EUR,4.99,ttoni88,297,"['https://i.ebayimg.com/images/g/Q-MAAOSwGvJhOSEQ/s-l1600.jpg', 'https://i.ebayimg.com/images/g/lnsAAOSw3UhhOSEm/s-l1600.jpg']",0,0,0
132,Pokemon Energie-Absauger 1. Edition 92/102 Base Set Deutsch PSA 10 BGS Trainer,Other,0,Gebraucht,2021-09-19 16:30:00,No auction,61.0,EUR,4.99,ttoni88,297,"['https://i.ebayimg.com/images/g/IIEAAOSwP5ZhOZsK/s-l1600.jpg', 'https://i.ebayimg.com/images/g/BnIAAOSwXOFhOZsM/s-l1600.jpg']",0,0,0
131,Pokemon Pokemon-Flöte 1. Edition 86/102 Base Set Deutsch PSA 10 BGS Trainer Mint,Other,0,Gebraucht,2021-09-19 17:00:00,No auction,47.5,EUR,4.99,ttoni88,297,"['https://i.ebayimg.com/images/g/3j8AAOSw0MBhORpX/s-l1600.jpg', 'https://i.ebayimg.com/images/g/WFUAAOSw7xJhORpn/s-l1600.jpg']",0,0,0
129,Pokemon Center 1. Edition 85/102 Base Set Deutsch PSA 10 BGS Trainer Mint,Other,0,Gebraucht,2021-09-19 17:35:00,No auction,51.5,EUR,4.99,ttoni88,297,"['https://i.ebayimg.com/images/g/B6YAAOSwc3FhOZnY/s-l1600.jpg', 'https://i.ebayimg.com/images/g/lUMAAOSwhhhhOZna/s-l1600.jpg']",0,0,0
128,Pokemon Bill 1. Edition 91/102 Base Set Deutsch PSA 10 BGS Trainer Gem Mint,Other,0,Gebraucht,2021-09-19 18:05:00,No auction,56.66,EUR,4.99,ttoni88,297,"['https://i.ebayimg.com/images/g/MeEAAOSwM0BhOZip/s-l1600.jpg', 'https://i.ebayimg.com/images/g/ygoAAOSwgJxhOZiq/s-l1600.jpg']",0,0,0
127,Pokemon Ponita 1. Edition 50/102 Base Set Deutsch PSA 10 BGS Gem Mint Original,Ponyta,German,Gebraucht,2021-09-19 18:30:00,No auction,72.0,EUR,4.99,ttoni88,297,"['https://i.ebayimg.com/images/g/eCUAAOSwcX9hOR-y/s-l1600.jpg', 'https://i.ebayimg.com/images/g/TTUAAOSwyIthOR-0/s-l1600.jpg']",0,0,0
126,SHADOWLESS STARYU M base set pokemon charizard NM psa 10 holo,Staryu,English,Gebraucht,2021-09-19 18:31:00,No auction,1.0,EUR,9.95,juavalientemnde0,714,"['https://i.ebayimg.com/images/g/-aYAAOSw5~hhQM3u/s-l1600.jpg', 'https://i.ebayimg.com/images/g/Ro8AAOSwUFVhQM3x/s-l1600.jpg', 'https://i.ebayimg.com/images/g/0MEAAOSwYFNhQM3y/s-l1600.jpg', 'https://i.ebayimg.com/images/g/9OsAAOSwdbVhQM30/s-l1600.jpg', 'https://i.ebayimg.com/images/g/jT0AAOSwxJBhQM4o/s-l1600.jpg']",0,0,0
125,SHADOWLESS GASTLY NM base set pokemon charizard NM psa 10 holo,Gastly,English,Gebraucht,2021-09-19 18:34:00,No auction,1.0,EUR,9.95,juavalientemnde0,714,"['https://i.ebayimg.com/images/g/IX0AAOSwXRxhQM6C/s-l1600.jpg', 'https://i.ebayimg.com/images/g/qlMAAOSw1SxhQM6E/s-l1600.jpg', 'https://i.ebayimg.com/images/g/R-kAAOSwUZthQM6G/s-l1600.jpg', 'https://i.ebayimg.com/images/g/R88AAOSw9s5hQM6I/s-l1600.jpg', 'https://i.ebayimg.com/images/g/NMgAAOSw8tZhQM6K/s-l1600.jpg']",0,0,0
124,SHADOWLESS WEEDLE M base set pokemon charizard NM psa 10 holo,Weedle,English,Gebraucht,2021-09-19 18:36:00,No auction,3.5,EUR,9.95,juavalientemnde0,714,"['https://i.ebayimg.com/images/g/nKkAAOSw93phQM8l/s-l1600.jpg', 'https://i.ebayimg.com/images/g/8-cAAOSwXVNhQM8n/s-l1600.jpg', 'https://i.ebayimg.com/images/g/V3cAAOSwoHZhQM8o/s-l1600.jpg', 'https://i.ebayimg.com/images/g/Q1kAAOSwKmphQM8q/s-l1600.jpg', 'https://i.ebayimg.com/images/g/940AAOSw2RVhQM8r/s-l1600.jpg']",0,0,0
123,SHADOWLESS ABRA M base set pokemon charizard NM psa 10 holo,Abra,English,Gebraucht,2021-09-19 18:38:00,No auction,4.0,EUR,9.95,juavalientemnde0,714,"['https://i.ebayimg.com/images/g/-NYAAOSww6FhQM-l/s-l1600.jpg', 'https://i.ebayimg.com/images/g/SnYAAOSwakdhQM-Y/s-l1600.jpg', 'https://i.ebayimg.com/images/g/LkUAAOSwBHhhQM-a/s-l1600.jpg', 'https://i.ebayimg.com/images/g/qg4AAOSw6iRhQM-d/s-l1600.jpg', 'https://i.ebayimg.com/images/g/ducAAOSwkHphQM-f/s-l1600.jpg']",0,0,0
122,SEIZING POISON BATTLE E+ BOOSTER pokemon base set charizard NM psa 10 holo,Charizard,English,Neu,2021-09-19 18:55:00,No auction,10.6,EUR,9.95,juavalientemnde0,714,"['https://i.ebayimg.com/images/g/XTEAAOSw5-phQNOt/s-l1600.jpg', 'https://i.ebayimg.com/images/g/7bUAAOSwDrZhQNOv/s-l1600.jpg', 'https://i.ebayimg.com/images/g/fs8AAOSweSthQNOw/s-l1600.jpg', 'https://i.ebayimg.com/images/g/ThcAAOSw2WlhQNOy/s-l1600.jpg']",0,0,0
121,COMPLETE VENDING SERIES 1 34/36 pokemon base set charizard NM psa 10 holo,Charizard,English,Gebraucht,2021-09-19 18:59:00,No auction,114.05,EUR,9.95,juavalientemnde0,714,"['https://i.ebayimg.com/images/g/ZDwAAOSw30BhQNQ~/s-l1600.jpg', 'https://i.ebayimg.com/images/g/SJEAAOSwtfhhQNRB/s-l1600.jpg', 'https://i.ebayimg.com/images/g/Uc4AAOSw9s5hQNRE/s-l1600.jpg', 'https://i.ebayimg.com/images/g/UfIAAOSwGpZhQNRG/s-l1600.jpg', 'https://i.ebayimg.com/images/g/HWsAAOSwjMZhQNRI/s-l1600.jpg', 'https://i.ebayimg.com/images/g/mjgAAOSw4jthQNRJ/s-l1600.jpg', 'https://i.ebayimg.com/images/g/NJ8AAOSwTe9hQNRM/s-l1600.jpg', 'https://i.ebayimg.com/images/g/DNUAAOSw0t1hQNRN/s-l1600.jpg', 'https://i.ebayimg.com/images/g/owQAAOSwo7RhQNRQ/s-l1600.jpg', 'https://i.ebayimg.com/images/g/mkEAAOSw4jthQNRS/s-l1600.jpg', 'https://i.ebayimg.com/images/g/NDYAAOSwl9BhQNRT/s-l1600.jpg']",0,0,0
120,Pokemon Traumato 1. Edition 49/102 Base Set Deutsch PSA 10 BGS Gem Mint Original,Drowzee,German,Gebraucht,2021-09-19 19:00:00,No auction,72.0,EUR,4.99,ttoni88,297,"['https://i.ebayimg.com/images/g/75cAAOSw3dhhOSKn/s-l1600.jpg', 'https://i.ebayimg.com/images/g/f6gAAOSwtuBhOSKp/s-l1600.jpg']",0,0,0
